"time (s)","/I9/p (A)","/net1 (V)"
0.00000,0.00000,0.00000
625.0E-6,157.1E-9,31.42E-3
1.875E-3,471.2E-9,94.24E-3
4.375E-3,1.099E-6,219.8E-3
9.375E-3,2.353E-6,470.1E-3
19.37E-3,4.844E-6,964.3E-3
29.38E-3,7.295E-6,1.443
39.38E-3,9.684E-6,1.899
49.38E-3,11.99E-6,2.326
59.38E-3,14.19E-6,2.715
69.38E-3,16.26E-6,3.062
79.38E-3,18.17E-6,3.360
89.38E-3,19.91E-6,3.606
99.38E-3,21.44E-6,3.794
109.4E-3,22.72E-6,3.923
119.4E-3,23.74E-6,3.990
129.4E-3,24.45E-6,3.994
139.4E-3,24.81E-6,3.935
149.4E-3,24.8E-6,3.814
159.4E-3,24.36E-6,3.633
169.4E-3,23.47E-6,3.394
179.4E-3,22.09E-6,3.102
189.4E-3,20.22E-6,2.761
199.4E-3,17.86E-6,2.376
209.4E-3,15.02E-6,1.954
219.4E-3,11.75E-6,1.502
229.4E-3,8.134E-6,1.025
239.4E-3,4.261E-6,532.5E-3
249.4E-3,252.2E-9,31.42E-3
259.4E-3,-3.768E-6,-470.1E-3
269.4E-3,-7.685E-6,-964.3E-3
279.4E-3,-11.4E-6,-1.443
289.4E-3,-14.81E-6,-1.899
299.4E-3,-17.87E-6,-2.326
309.4E-3,-20.51E-6,-2.715
319.4E-3,-22.71E-6,-3.062
329.4E-3,-24.45E-6,-3.360
339.4E-3,-25.73E-6,-3.606
349.4E-3,-26.56E-6,-3.794
359.4E-3,-26.96E-6,-3.923
369.4E-3,-26.94E-6,-3.990
379.4E-3,-26.52E-6,-3.994
389.4E-3,-25.74E-6,-3.935
399.4E-3,-24.6E-6,-3.814
409.4E-3,-23.14E-6,-3.633
419.4E-3,-21.38E-6,-3.394
429.4E-3,-19.36E-6,-3.102
439.4E-3,-17.09E-6,-2.761
449.4E-3,-14.61E-6,-2.376
459.4E-3,-11.95E-6,-1.954
469.4E-3,-9.138E-6,-1.502
479.4E-3,-6.22E-6,-1.025
489.4E-3,-3.225E-6,-532.5E-3
499.4E-3,-190.1E-9,-31.42E-3
509.4E-3,2.85E-6,470.1E-3
519.4E-3,5.875E-6,964.3E-3
529.4E-3,8.871E-6,1.443
539.4E-3,11.82E-6,1.899
549.4E-3,14.71E-6,2.326
559.4E-3,17.51E-6,2.715
569.4E-3,20.21E-6,3.062
579.4E-3,22.8E-6,3.360
589.4E-3,25.23E-6,3.606
599.4E-3,27.49E-6,3.794
609.4E-3,29.53E-6,3.923
619.4E-3,31.32E-6,3.990
629.4E-3,32.79E-6,3.994
639.4E-3,33.9E-6,3.935
649.4E-3,34.56E-6,3.814
659.4E-3,34.68E-6,3.633
669.4E-3,34.17E-6,3.394
679.4E-3,32.92E-6,3.102
689.4E-3,30.83E-6,2.761
699.4E-3,27.82E-6,2.376
709.4E-3,23.87E-6,1.954
719.4E-3,19.0E-6,1.502
729.4E-3,13.32E-6,1.025
739.4E-3,7.036E-6,532.5E-3
749.4E-3,417.7E-9,31.42E-3
759.4E-3,-6.208E-6,-470.1E-3
769.4E-3,-12.47E-6,-964.3E-3
779.4E-3,-18.06E-6,-1.443
789.4E-3,-22.78E-6,-1.899
799.4E-3,-26.58E-6,-2.326
809.4E-3,-29.49E-6,-2.715
819.4E-3,-31.59E-6,-3.062
829.4E-3,-32.96E-6,-3.360
839.4E-3,-33.71E-6,-3.606
849.4E-3,-33.91E-6,-3.794
859.4E-3,-33.64E-6,-3.923
869.4E-3,-32.95E-6,-3.990
879.4E-3,-31.88E-6,-3.994
889.4E-3,-30.46E-6,-3.935
899.4E-3,-28.74E-6,-3.814
909.4E-3,-26.74E-6,-3.633
919.4E-3,-24.47E-6,-3.394
929.4E-3,-21.98E-6,-3.102
939.4E-3,-19.27E-6,-2.761
949.4E-3,-16.39E-6,-2.376
959.4E-3,-13.35E-6,-1.954
969.4E-3,-10.18E-6,-1.502
979.4E-3,-6.911E-6,-1.025
989.4E-3,-3.578E-6,-532.5E-3
999.4E-3,-210.9E-9,-31.42E-3
1.009,3.162E-6,470.1E-3
1.019,6.525E-6,964.3E-3
1.029,9.868E-6,1.443
1.039,13.18E-6,1.899
1.049,16.45E-6,2.326
1.059,19.67E-6,2.715
1.069,22.81E-6,3.062
1.079,25.88E-6,3.360
1.089,28.84E-6,3.606
1.099,31.68E-6,3.794
1.109,34.37E-6,3.923
1.119,36.85E-6,3.990
1.129,39.09E-6,3.994
1.139,41.0E-6,3.935
1.149,42.48E-6,3.814
1.159,43.42E-6,3.633
1.169,43.65E-6,3.394
1.179,42.98E-6,3.102
1.189,41.18E-6,2.761
1.199,38.02E-6,2.376
1.209,33.34E-6,1.954
1.219,27.05E-6,1.502
1.229,19.25E-6,1.025
1.239,10.27E-6,532.5E-3
1.249,611.8E-9,31.42E-3
1.259,-9.011E-6,-470.1E-3
1.269,-17.64E-6,-964.3E-3
1.279,-24.64E-6,-1.443
1.289,-29.87E-6,-1.899
1.299,-33.54E-6,-2.326
1.309,-35.96E-6,-2.715
1.319,-37.4E-6,-3.062
1.329,-38.08E-6,-3.360
1.339,-38.16E-6,-3.606
1.349,-37.76E-6,-3.794
1.359,-36.94E-6,-3.923
1.369,-35.78E-6,-3.990
1.379,-34.30E-6,-3.994
1.389,-32.53E-6,-3.935
1.399,-30.5E-6,-3.814
1.409,-28.22E-6,-3.633
1.419,-25.73E-6,-3.394
1.429,-23.02E-6,-3.102
1.439,-20.13E-6,-2.761
1.449,-17.08E-6,-2.376
1.459,-13.89E-6,-1.954
1.469,-10.57E-6,-1.502
1.479,-7.174E-6,-1.025
1.489,-3.712E-6,-532.5E-3
1.495,-1.858E-6,-266.8E-3
1.500,-97.37E-15,-2.939E-15
